timestamp,src_ip,dst_ip,src_port,dst_port,protocol,flow_duration,total_packets,total_bytes,avg_packet_size,min_packet_size,max_packet_size,packets_per_second,bytes_per_second,syn_count,ack_count,fin_count,rst_count,psh_count,unique_src_ports,unique_dst_ports,inter_arrival_mean,inter_arrival_std,inter_arrival_cv,inter_arrival_min,inter_arrival_max,burst_count,burst_duration_avg,fwd_packet_count,bwd_packet_count,fwd_bwd_packet_ratio,fwd_bwd_bytes_ratio,fwd_avg_packet_size,bwd_avg_packet_size,reply_rate,syn_ack_ratio,completed_sessions,incomplete_ratio,avg_session_duration,payload_size_entropy,src_port_entropy,icmp_type_entropy,pkt_size_std,pkt_size_variance,small_pkt_ratio,large_pkt_ratio,top_dst_port,top_dst_port_ratio,dst_port_std,well_known_port_ratio,ephemeral_port_ratio,sequential_port_score,is_broadcast_dst,flows_per_window,device_total_flows,device_avg_pkt_rate,device_pkt_rate_deviation,device_avg_byte_rate,device_byte_rate_deviation,device_unique_dst_ips,device_unique_dst_ports,device_new_dst_ratio,device_protocol_dist_tcp,device_protocol_dist_udp,device_protocol_dist_icmp,device_avg_payload_size,device_payload_size_deviation,is_registered_iot,is_gateway,device_age_seconds,is_baseline_mature,network_active_flows,network_total_pps,network_total_bps,network_unique_src_ips,network_unique_dst_ips,network_avg_flow_duration,network_entropy_src_ip,network_entropy_dst_port,active_snort_alerts,distinct_alert_types,broadcast_ratio,multicast_ratio,arp_broadcast_ratio,arp_reply_rate,arp_request_rate,arp_reply_request_ratio,arp_gratuitous_count,arp_unsolicited_count,mac_ip_binding_changes,ip_mac_binding_changes,label,attack_type,snort_sid
2026-06-20T21:29:32.987864,10.0.0.3,10.0.0.4,0,0,ARP,0.0049,4,168,42.0,42,42,808.3457,33950.5214,0,0,0,0,0,0,0,0.001649,0.001409,0.8545,0.000165,0.002969,1,0.1645,4,2,1.3333,1.9765,42.0,42.0,0.5,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1,10,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.69,0,57,42.8,3029.6,6,6,0.0632,2.5792,0.0,0,0,0.2804,0.0,0.5769,0.0,4041.7287,0.0,0,0,0,0,0,normal,none
2026-06-20T21:29:32.989954,10.0.0.4,10.0.0.3,0,0,ARP,0.0025,2,84,42.0,42,42,810.8069,34053.889,0,0,0,0,0,0,0,0.002467,0.0,0.0,0.002467,0.002467,0,0.0,2,4,0.4,0.497,42.0,42.0,2.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,10,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.69,0,57,42.8,3029.6,6,6,0.0632,2.5792,0.0,0,0,0.2804,0.0,0.5769,810.8069,6486.4551,0.1176,0,0,0,0,0,normal,none
2026-06-20T21:29:32.992616,10.0.0.3,10.0.0.4,0,0,ICMP,0.0961,3,294,98.0,98,98,31.2296,3060.5024,0,0,0,0,0,0,0,0.048031,0.064575,1.3444,0.00237,0.093693,1,2.3699,3,2,1.0,1.4924,98.0,98.0,0.6667,0.0,0,0.0,0.0,0.0,0.0,0.9183,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,10,1,80.8346,0.0,3395.0521,0.0,1,1,1.0,0.0,0.0,0.0,4.2,0.0,0,0,1.69,0,57,42.8,3029.6,6,6,0.0632,2.5792,0.0,0,0,0.2804,0.0,0.5769,0,0,0,0,0,0,0,0,normal,none
2026-06-20T21:29:32.995119,10.0.0.4,10.0.0.3,0,0,ICMP,0.0934,2,196,98.0,98,98,21.407,2097.8852,0,0,0,0,0,0,0,0.093427,0.0,0.0,0.093427,0.093427,0,0.0,2,3,0.5,0.6644,98.0,98.0,1.5,0.0,0,0.0,0.0,0.0,0.0,0.9341,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,10,1,81.0807,0.0,3405.3889,0.0,1,1,1.0,0.0,0.0,0.0,4.2,0.0,0,0,1.69,0,57,42.8,3029.6,6,6,0.0632,2.5792,0.0,0,0,0.2804,0.0,0.5769,0,0,0,0,0,0,0,0,normal,none
2026-06-20T21:29:33.015020,10.0.0.3,10.0.0.5,0,0,ARP,0.0069,4,168,42.0,42,42,580.2454,24370.3075,0,0,0,0,0,0,0,0.002298,0.001618,0.7041,0.000575,0.003785,0,0.0,4,2,1.3333,1.9765,42.0,42.0,0.5,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1,10,2,75.8741,0.292,3361.5972,0.2685,1,1,1.0,0.0,0.0,0.5,13.58,-0.7071,0,0,1.69,0,57,42.8,3029.6,6,6,0.0632,2.5792,0.0,0,0,0.2804,0.0,0.5769,0.0,2901.2271,0.0,0,0,0,0,0,normal,none
2026-06-20T21:29:33.018954,10.0.0.5,10.0.0.3,0,0,ARP,0.0026,2,84,42.0,42,42,762.1157,32008.8613,0,0,0,0,0,0,0,0.002624,0.0,0.0,0.002624,0.002624,0,0.0,2,4,0.4,0.497,42.0,42.0,2.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,10,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1.66,0,57,42.8,3029.6,6,6,0.0632,2.5792,0.0,0,0,0.2804,0.0,0.5769,1524.2315,4572.6945,0.3077,0,0,0,0,0,normal,none
2026-06-20T21:29:33.021717,10.0.0.3,10.0.0.5,0,0,ICMP,0.1344,3,294,98.0,98,98,22.3225,2187.6066,0,0,0,0,0,0,0,0.067197,0.083804,1.2471,0.007938,0.126455,1,7.9381,3,2,1.0,1.4924,98.0,98.0,0.6667,0.0,0,0.0,0.0,0.0,0.0,0.9183,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,10,3,126.3112,-1.1289,5462.4682,-1.1556,2,1,1.0,0.0,0.0,0.3333,16.422,1.1547,0,0,1.69,0,57,42.8,3029.6,6,6,0.0632,2.5792,0.0,0,0,0.2804,0.0,0.5769,0,0,0,0,0,0,0,0,normal,none
2026-06-20T21:29:33.029796,10.0.0.5,10.0.0.3,0,0,ICMP,0.1262,2,196,98.0,98,98,15.8496,1553.2581,0,0,0,0,0,0,0,0.126186,0.0,0.0,0.126186,0.126186,0,0.0,2,3,0.5,0.6644,98.0,98.0,1.5,0.0,0,0.0,0.0,0.0,0.0,0.9495,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,10,1,76.2116,0.0,3200.8861,0.0,1,1,1.0,0.0,0.0,0.0,4.2,0.0,1,0,1.66,0,57,42.8,3029.6,6,6,0.0632,2.5792,0.0,0,0,0.2804,0.0,0.5769,0,0,0,0,0,0,0,0,normal,none
2026-06-20T21:29:33.032948,10.0.0.3,10.0.0.6,0,0,ARP,0.0055,4,168,42.0,42,42,727.3885,30550.3175,0,0,0,0,0,0,0,0.001833,0.001445,0.7881,0.000178,0.002841,1,0.1781,4,2,1.3333,1.9765,42.0,42.0,0.5,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1,10,4,115.9123,0.9252,5134.982,0.9268,2,1,1.0,0.0,0.0,0.5,24.5798,-0.866,0,0,1.69,0,57,42.8,3029.6,6,6,0.0632,2.5792,0.0,0,0,0.2804,0.0,0.5769,0.0,3636.9426,0.0,0,0,0,0,0,normal,none
2026-06-20T21:29:33.036082,10.0.0.6,10.0.0.3,0,0,ARP,0.002,2,84,42.0,42,42,1010.4322,42438.1518,0,0,0,0,0,0,0,0.001979,0.0,0.0,0.001979,0.001979,0,0.0,2,4,0.4,0.497,42.0,42.0,2.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,10,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1.64,0,57,42.8,3029.6,6,6,0.0632,2.5792,0.0,0,0,0.2804,0.0,0.5769,3031.2966,4041.7287,0.6667,0,0,0,0,0,normal,none
2026-06-20T21:29:33.038205,10.0.0.3,10.0.0.6,0,0,ICMP,0.1818,3,294,98.0,98,98,16.5038,1617.3769,0,0,0,0,0,0,0,0.090888,0.123293,1.3565,0.003706,0.178069,1,3.7065,3,2,1.0,1.4924,98.0,98.0,0.6667,0.0,0,0.0,0.0,0.0,0.0,0.9183,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,10,5,177.06,-1.0968,7676.5156,-1.1331,3,1,1.0,0.0,0.0,0.4,26.3218,1.0954,0,0,1.69,0,57,42.8,3029.6,6,6,0.0632,2.5792,0.0,0,0,0.2804,0.0,0.5769,0,0,0,0,0,0,0,0,normal,none
2026-06-20T21:29:33.042065,10.0.0.6,10.0.0.3,0,0,ICMP,0.1777,2,196,98.0,98,98,11.2538,1102.8757,0,0,0,0,0,0,0,0.177717,0.0,0.0,0.177717,0.177717,0,0.0,2,3,0.5,0.6644,98.0,98.0,1.5,0.0,0,0.0,0.0,0.0,0.0,0.9641,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,10,1,101.0432,0.0,4243.8152,0.0,1,1,1.0,0.0,0.0,0.0,4.2,0.0,1,0,1.64,0,57,42.8,3029.6,6,6,0.0632,2.5792,0.0,0,0,0.2804,0.0,0.5769,0,0,0,0,0,0,0,0,normal,none
2026-06-20T21:29:33.045731,10.0.0.3,10.0.0.1,0,0,ARP,0.003,4,168,42.0,42,42,1330.5747,55884.1361,0,0,0,0,0,0,0,0.001002,0.000793,0.791,0.000159,0.001732,1,0.1588,4,4,0.8,0.9941,42.0,42.0,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1,10,6,161.0043,2.5384,7070.6017,2.6112,3,1,1.0,0.0,0.0,0.5,33.4896,-0.9129,0,0,1.69,0,57,42.8,3029.6,6,6,0.0632,2.5792,0.0,0,0,0.2804,0.0,0.5769,0.0,6652.8733,0.0,0,0,0,0,0,normal,none
