timestamp,src_ip,dst_ip,src_port,dst_port,protocol,flow_duration,total_packets,total_bytes,avg_packet_size,min_packet_size,max_packet_size,packets_per_second,bytes_per_second,syn_count,ack_count,fin_count,rst_count,psh_count,unique_src_ports,unique_dst_ports,inter_arrival_mean,inter_arrival_std,inter_arrival_cv,inter_arrival_min,inter_arrival_max,burst_count,burst_duration_avg,fwd_packet_count,bwd_packet_count,fwd_bwd_packet_ratio,fwd_bwd_bytes_ratio,fwd_avg_packet_size,bwd_avg_packet_size,reply_rate,syn_ack_ratio,completed_sessions,incomplete_ratio,avg_session_duration,payload_size_entropy,src_port_entropy,icmp_type_entropy,pkt_size_std,pkt_size_variance,small_pkt_ratio,large_pkt_ratio,top_dst_port,top_dst_port_ratio,dst_port_std,well_known_port_ratio,ephemeral_port_ratio,sequential_port_score,is_broadcast_dst,flows_per_window,device_total_flows,device_avg_pkt_rate,device_pkt_rate_deviation,device_avg_byte_rate,device_byte_rate_deviation,device_unique_dst_ips,device_unique_dst_ports,device_new_dst_ratio,device_protocol_dist_tcp,device_protocol_dist_udp,device_protocol_dist_icmp,device_avg_payload_size,device_payload_size_deviation,is_registered_iot,is_gateway,device_age_seconds,is_baseline_mature,network_active_flows,network_total_pps,network_total_bps,network_unique_src_ips,network_unique_dst_ips,network_avg_flow_duration,network_entropy_src_ip,network_entropy_dst_port,active_snort_alerts,distinct_alert_types,broadcast_ratio,multicast_ratio,arp_broadcast_ratio,arp_reply_rate,arp_request_rate,arp_reply_request_ratio,arp_gratuitous_count,arp_unsolicited_count,mac_ip_binding_changes,ip_mac_binding_changes,label,attack_type,snort_sid,meta_window_id,meta_src_mac_oui,meta_device_name,meta_attack_tool,meta_attack_intensity,meta_mininet_event,meta_controller_load,meta_backlog_drops
2026-04-19T21:37:26.010389,10.0.0.3,10.0.0.4,0,0,ARP,2.2012,9,378,42.0,42,42,4.0886,171.7233,0,0,0,0,0,0,0,0.275152,0.031869,0.1158,0.230304,0.316554,0,0.0,9,0,9.0,378.0,42.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,24,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2.27,0,5,16.2,994.0,2,3,1.7647,0.8767,0.0,0,0,0.2099,0.0,0.3208,0.0,7.723,0.0,0,0,0,0,0,normal,none,14,fe:54:14,h1,none,0,pingall,0.77,0
2026-04-19T21:37:26.241274,10.0.0.4,10.0.0.3,0,0,ARP,1.9754,36,1512,42.0,42,42,18.2238,765.3977,0,0,0,0,0,0,0,0.056441,0.113393,2.009,0.000175,0.309416,7,3.3967,36,0,36.0,1512.0,42.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,57,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2.04,0,5,16.2,994.0,2,3,1.7647,0.8767,0.0,0,0,0.2099,0.0,0.3208,18.2238,0.0,36.0,0,0,0,0,0,normal,none,14,8e:4c:04,h2,none,0,pingall,1.28,0
2026-04-19T21:37:26.499233,10.0.0.3,10.0.0.4,0,0,ICMP,1.7181,7,686,98.0,98,98,4.0743,399.2853,0,0,0,0,0,0,0,0.286345,0.02703,0.0944,0.254453,0.31724,0,0.0,7,0,7.0,686.0,98.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,24,1,0.4089,0.0,17.1723,0.0,1,1,1.0,0.0,0.0,0.0,4.2,0.0,0,0,2.27,0,5,16.2,994.0,2,3,1.7647,0.8767,0.0,0,0,0.2099,0.0,0.3208,0,0,0,0,0,0,0,0,normal,none,14,fe:54:14,h1,none,0,pingall,1.53,0
2026-04-19T21:37:26.760989,10.0.0.4,10.0.0.3,0,0,ICMP,1.4639,21,2058,98.0,98,98,14.345,1405.8085,0,0,0,0,0,0,0,0.073196,0.127173,1.7374,0.000274,0.311268,5,5.7428,21,0,21.0,2058.0,98.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,57,1,1.8224,0.0,76.5398,0.0,1,1,1.0,0.0,0.0,0.0,4.2,0.0,0,0,2.04,0,5,16.2,994.0,2,3,1.7647,0.8767,0.0,0,0,0.2099,0.0,0.3208,0,0,0,0,0,0,0,0,normal,none,14,8e:4c:04,h2,none,0,pingall,1.95,0
2026-04-19T21:37:26.762725,10.0.0.3,10.0.0.1,0,0,ARP,1.4648,8,336,42.0,42,42,5.4615,229.3821,0,0,0,0,0,0,0,0.209258,0.087937,0.4202,0.110703,0.307049,0,0.0,8,0,8.0,336.0,42.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,24,2,0.7754,136.3898,55.3836,-0.3488,1,1,1.0,0.0,0.0,0.5,13.58,-0.7071,0,0,2.27,0,5,16.2,994.0,2,3,1.7647,0.8767,0.0,0,0,0.2099,0.0,0.3208,0.0,11.6056,0.0,0,0,0,0,0,normal,none,14,fe:54:14,h1,none,0,pingall,2.22,0
2026-04-19T21:37:28.406409,10.0.0.3,10.0.0.1,0,0,ARP,4.8487,76,3192,42.0,42,42,15.6744,658.3263,0,0,0,0,0,0,0,0.064649,0.05976,0.9244,0.000834,0.291126,22,14.3055,76,0,76.0,3192.0,42.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,175,3,1.244,13.9727,72.7835,3.3095,0,0,0.0,0.0,0.0,0.3333,16.422,-0.5774,0,0,7.28,0,8,138.4,8646.4,3,4,3.5156,0.9347,0.0,0,0,0.2066,0.0,0.3257,3.0936,29.0802,0.1056,0,0,0,0,0,normal,none,15,fe:54:14,h1,none,0,pingall,1.22,0
2026-04-19T21:37:28.510185,10.0.0.3,10.0.0.4,0,0,ARP,4.7543,52,2184,42.0,42,42,10.9374,459.3729,0,0,0,0,0,0,0,0.093222,0.099058,1.0626,0.000293,0.398381,10,9.8146,52,0,52.0,2184.0,42.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,175,4,2.6871,0.6446,131.3378,0.4338,1,1,1.0,0.0,0.0,0.25,18.9798,-0.5,0,0,7.28,0,8,138.4,8646.4,3,4,3.5156,0.9347,0.0,0,0,0.2066,0.0,0.3257,3.155,29.6573,0.1056,0,0,0,0,0,normal,none,15,fe:54:14,h1,none,0,pingall,1.9,0
2026-04-19T21:37:28.510583,10.0.0.4,10.0.0.3,0,0,ARP,4.7502,269,11298,42.0,42,42,56.6295,2378.4408,0,0,0,0,0,0,0,0.017725,0.063611,3.5889,0.000176,0.345807,24,9.9229,269,0,269.0,11298.0,42.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,505,2,3.0746,14.71,209.4666,2.855,0,0,0.0,0.0,0.0,0.5,13.58,-0.7071,0,0,7.05,0,8,138.4,8646.4,3,4,3.5156,0.9347,0.0,0,0,0.2066,0.0,0.3257,55.577,1.4736,33.0,0,0,0,0,0,normal,none,15,8e:4c:04,h2,none,0,pingall,3.81,0
2026-04-19T21:37:28.516834,10.0.0.3,10.0.0.4,0,0,ICMP,4.7324,19,1862,98.0,98,98,4.0149,393.4593,0,0,0,0,0,0,0,0.26291,0.121462,0.462,0.000316,0.47172,2,27.9783,19,0,19.0,1862.0,98.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.6292,0.0,0,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,175,5,3.5121,-0.7883,164.1413,0.0508,2,1,1.0,0.0,0.0,0.2,21.2818,1.7889,0,0,7.28,0,8,138.4,8646.4,3,4,3.5156,0.9347,0.0,0,0,0.2066,0.0,0.3257,0,0,0,0,0,0,0,0,normal,none,15,fe:54:14,h1,none,0,pingall,4.36,0
2026-04-19T21:37:28.517684,10.0.0.4,10.0.0.3,0,0,ICMP,4.7309,234,22932,98.0,98,98,49.4619,4847.264,0,0,0,0,0,0,0,0.020304,0.073692,3.6294,0.00015,0.45989,16,16.1083,234,0,234.0,22932.0,98.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.071,0.0,0,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,505,3,8.4301,0.8441,426.3641,4.1008,1,1,1.0,0.0,0.0,0.3333,16.422,1.1547,0,0,7.05,0,8,138.4,8646.4,3,4,3.5156,0.9347,0.0,0,0,0.2066,0.0,0.3257,0,0,0,0,0,0,0,0,normal,none,15,8e:4c:04,h2,none,0,pingall,5.99,0
